ano,genero,etnia,total_paper
2000,M,British,1605
2000,F,Africans,23
2000,M,Muslim,284
2000,F,Jewish,204
2000,F,Muslim,41
2000,M,IndianSubContinent,762
2000,N/A,Africans,6
2000,N/A,IndianSubContinent,117
2000,M,EastEuropean,389
2000,N/A,Muslim,20
2000,M,GreaterEastAsian,876
2000,F,GreaterEastAsian,287
2000,N/A,EastEuropean,6
2000,N/A,British,77
2000,F,IndianSubContinent,110
2000,M,Jewish,1089
2000,F,EastEuropean,72
2000,M,WestEuropean,1699
2000,F,British,323
2000,N/A,GreaterEastAsian,294
2000,M,Africans,168
2000,F,WestEuropean,326
2000,N/A,WestEuropean,34
2000,N/A,Jewish,13
2001,M,British,1679
2001,N/A,British,78
2001,F,WestEuropean,382
2001,F,Muslim,65
2001,N/A,Muslim,18
2001,M,GreaterEastAsian,1149
2001,N/A,GreaterEastAsian,431
2001,N/A,EastEuropean,5
2001,N/A,WestEuropean,48
2001,F,IndianSubContinent,148
2001,M,Jewish,1241
2001,M,WestEuropean,1926
2001,F,Africans,19
2001,M,IndianSubContinent,847
2001,N/A,IndianSubContinent,107
2001,M,Africans,210
2001,F,EastEuropean,91
2001,F,Jewish,206
2001,M,EastEuropean,472
2001,F,British,380
2001,F,GreaterEastAsian,371
2001,N/A,Jewish,12
2001,M,Muslim,343
2001,N/A,Africans,14
2002,M,Africans,190
2002,M,British,1748
2002,F,Muslim,65
2002,M,Jewish,1239
2002,N/A,Jewish,23
2002,M,IndianSubContinent,946
2002,M,Muslim,373
2002,N/A,Africans,10
2002,N/A,British,90
2002,M,EastEuropean,519
2002,F,IndianSubContinent,164
2002,F,GreaterEastAsian,409
2002,F,Africans,28
2002,N/A,IndianSubContinent,123
2002,F,British,341
2002,F,Jewish,239
2002,N/A,EastEuropean,10
2002,M,WestEuropean,1949
2002,N/A,Muslim,15
2002,F,WestEuropean,385
2002,F,EastEuropean,95
2002,M,GreaterEastAsian,1128
2002,N/A,GreaterEastAsian,360
2002,N/A,WestEuropean,38
2003,M,Africans,222
2003,N/A,EastEuropean,10
2003,M,Muslim,429
2003,N/A,Muslim,26
2003,M,GreaterEastAsian,1644
2003,M,IndianSubContinent,1188
2003,M,Jewish,1400
2003,F,Jewish,252
2003,N/A,Jewish,18
2003,M,WestEuropean,2262
2003,N/A,British,85
2003,F,WestEuropean,462
2003,M,EastEuropean,612
2003,N/A,IndianSubContinent,153
2003,F,EastEuropean,136
2003,N/A,WestEuropean,46
2003,F,GreaterEastAsian,625
2003,F,IndianSubContinent,205
2003,N/A,Africans,6
2003,M,British,2015
2003,F,Muslim,95
2003,N/A,GreaterEastAsian,529
2003,F,Africans,47
2003,F,British,389
2004,M,GreaterEastAsian,1880
2004,N/A,WestEuropean,52
2004,F,Muslim,114
2004,M,British,2229
