PublicationYear,LibraryCatalog,quantidade
2014,ACM Digital Library,2
2014,Google Scholar,1
2014,IEEE Xplore,2
2014,ScienceDirect,2
2015,ACM Digital Library,2
2015,IEEE Xplore,2
2015,ScienceDirect,3
2016,ACM Digital Library,4
2016,Google Scholar,3
2016,IEEE Xplore,6
2016,ScienceDirect,4
2017,ACM Digital Library,6
2017,Google Scholar,14
2017,IEEE Xplore,17
2017,ScienceDirect,6
2018,ACM Digital Library,8
2018,Google Scholar,10
2018,IEEE Xplore,12
2018,ScienceDirect,8
2019,ACM Digital Library,2
2019,Google Scholar,2
2019,IEEE Xplore,7
2019,ScienceDirect,2
NA,ACM Digital Library,16
NA,Google Scholar,4
NA,IEEE Xplore,17
