LibraryCatalog,Status,quantidade,prop_status
ACM Digital Library,Aceito,2,1.2345679012345678
ACM Digital Library,Possível Reanálise,6,3.7037037037037033
ACM Digital Library,Rejeitado,32,19.753086419753085
Google Scholar,Aceito,12,7.4074074074074066
Google Scholar,Possível Reanálise,3,1.8518518518518516
Google Scholar,Rejeitado,19,11.728395061728394
IEEE Xplore,Aceito,9,5.555555555555555
IEEE Xplore,Possível Reanálise,10,6.172839506172839
IEEE Xplore,Rejeitado,44,27.160493827160494
ScienceDirect,Aceito,4,2.4691358024691357
ScienceDirect,Possível Reanálise,5,3.0864197530864197
ScienceDirect,Rejeitado,16,9.876543209876543
